Trace,Baseline,Accuracy,Coverage,MPKI,MPKI_Improvement,IPC,IPC_Improvement
pr-3.trace.gz,no,N/A,0.0,64.65620987068758,N/A,0.0600891,N/A
pr-3.trace.gz,yours,N/A,0.0,64.65620987068758,0.0014167038603022525,0.0600891,0.0
pr-3.trace.gz,sisb_bo,36.0914251422998,29.63743043244373,53.32172189335656,17.53156179567894,0.0621026,3.350857310227648
459.GemsFDTD-s0.trace.gz,no,N/A,0.0,30.343379878626482,N/A,0.343081,N/A
459.GemsFDTD-s0.trace.gz,yours,N/A,0.0,30.343379878626482,0.0029593717800753265,0.343081,0.0
459.GemsFDTD-s0.trace.gz,sisb_bo,81.63084663225911,65.90974020023972,10.35756993785458,65.86648065905538,0.554116,61.51171297740184
433.milc-s0.trace.gz,no,N/A,0.0,23.82992190468031,N/A,0.476612,N/A
433.milc-s0.trace.gz,yours,N/A,0.0,23.82992190468031,0.0003944604988939872,0.476612,0.0
433.milc-s0.trace.gz,sisb_bo,67.7525005455296,59.96004770038025,9.541687961833249,59.959372247169284,0.74565,56.44801221958324
sssp-3.trace.gz,no,N/A,0.0,21.19977995760044,N/A,0.338479,N/A
sssp-3.trace.gz,yours,N/A,0.0,21.19977995760044,0.10788460418469581,0.338479,0.0
sssp-3.trace.gz,sisb_bo,33.30259975390611,19.858921788164906,19.09185996181628,10.040279557582663,0.352749,4.215918860549696
429.mcf-s2.trace.gz,no,N/A,0.0,69.366442,N/A,0.0973073,N/A
429.mcf-s2.trace.gz,yours,N/A,0.0,69.366442,0.1877694291443277,0.0973073,0.0
429.mcf-s2.trace.gz,sisb_bo,67.9351820052528,47.985409310340444,36.095778,48.06133899198088,0.12436,27.801305760205043
433.milc-s1.trace.gz,no,N/A,0.0,26.91885783848685,N/A,0.465937,N/A
433.milc-s1.trace.gz,yours,N/A,0.0,26.91885783848685,0.00023032127589926428,0.465937,0.0
433.milc-s1.trace.gz,sisb_bo,77.57236003307388,52.729636817880554,12.724917974550165,52.72872017153733,0.751006,61.181876519787004
bc-5.trace.gz,no,N/A,0.0,37.12691192574618,N/A,0.21853,N/A
bc-5.trace.gz,yours,N/A,0.0,37.12691192574618,0.005946814791192251,0.21853,0.0
bc-5.trace.gz,sisb_bo,20.238060180272786,17.845969373006998,36.06602192786796,2.8632458835544714,0.212126,-2.9304900928934208
cc-5.trace.gz,no,N/A,0.0,22.742431909030273,N/A,0.272492,N/A
cc-5.trace.gz,yours,N/A,0.0,22.742431909030273,0.014859878381136109,0.272492,0.0
cc-5.trace.gz,sisb_bo,38.08137597442639,19.63865441290709,20.762235916951056,8.720620745480542,0.280461,2.924489526298021
462.libquantum-s0.trace.gz,no,N/A,0.0,29.67302394065395,N/A,0.508504,N/A
462.libquantum-s0.trace.gz,yours,N/A,0.0,29.67302394065395,0.0,0.508504,0.0
462.libquantum-s0.trace.gz,sisb_bo,99.99474124574394,51.52150316732127,14.385035942459856,51.52150316732127,0.8748,72.0340449632648
